Estate,Price/sq.ft,Quantity,Total Turnover in Millions
Taikoo Shing,"$20,172",29,356.17
South Horizons,"$17,176",24,265.91
Kornhill,"$18,200",10,108.77
Heng Fa Chuen,"$15,935",9,76.84
Dynasty Court,"$48,216",9,825.3
Lei King Wan,"$17,041",6,62.1
Residence Bel-Air,Residence Bel,6,251.38
Nan Fung Sun Chuen,"$15,871",6,37.37
Grand Promenade,"$23,437",5,57.89
Chi Fu Fa Yuen,"$14,005",5,33.68
Aldrich Garden,"$11,150",5,27.51
Island Resort,"$18,706",4,46.65
Kornhill (Ho),"$16,054",4,29.38
Baguio Villa,"$21,132",4,91.18
Kwan Yick Building,"$15,099",4,22.8
Cathay Mansion,"$16,773",4,46.54
Aberdeen Centre,"$15,318",3,17.67
Harbour Heights,"$18,238",3,34.78
Shan Tsui Court,"$13,421",3,15.26
Lei Tung Estate,"$8,154",3,8.79
Yue Fai Court,"$14,508",3,12.55
Queen's Terrace,"$21,284",3,27.35
Westlands Court,"$18,718",3,22.2
Viking Villas,"$21,143",3,43.4
Ka Wai Building,"$18,804",3,15.1
Ming Yuen Mansions,"$13,890",3,21.22
Westlands Gardens,"$15,091",3,39.78
Wah Kwai Estate,"$6,110",3,5.15
Hong Wah Mansion,"$17,163",3,14.76
Chong Yip Centre,"$17,915",3,17.75
Lohas Park,"$15,370",53,488.73
Mei Foo Sun Chuen,"$13,429",24,217.17
Amoy Gardens,"$16,590",17,101.08
Whampoa Garden,"$16,250",16,126.62
Metro City,"$18,128",14,108.32
Tseung Kwan O Plaza,"$18,108",14,119.46
Laguna City,"$14,573",13,116.62
Park Central,"$19,121",12,114.47
Ocean Shores,"$17,296",11,104.71
Metro Town,"$15,780",11,109.8
19-21 Nanking Street,19,11,87.91
The Wings,"$19,313",10,116.25
Metro Harbour View,"$19,955",9,69.28
Grand Waterfront,"$19,403",9,67.6
Bauhinia Garden,"$12,309",9,56.24
Richland Gardens,"$13,396",9,47.17
Sky Tower,"$20,464",8,82.92
Oscar By The Sea,"$14,512",8,65.11
Liberte,"$18,661",8,80.14
Aquamarine,"$17,945",8,71.62
Nan Fung Plaza,"$15,277",8,71.19
Cosmopolitan Estate,"$12,863",8,30.53
Rhythm Garden,"$12,105",8,53.82
Cullinan West,"$24,401",7,55.01
Harbour Green,"$21,784",7,66.22
The Beaumount,"$13,502",6,50
Banyan Garden,"$18,028",6,53.47
Sceneway Garden,"$15,061",6,55.83
La Cite Noble,"$15,971",6,40.38
Lei On Court,"$11,455",6,40.07
Kingswood Villas,"$11,493",33,196.65
City One Shatin,"$17,093",28,189.95
Discovery Bay,"$14,002",22,297
The Reach,"$14,223",21,135.3
Park Island,"$12,848",17,123.85
Yoho Town,"$17,020",15,126.85
Sereno Verde,"$13,056",15,92.38
Sui Wo Court,"$10,080",14,67.87
Fairview Park,"$13,121",13,157.37
Belvedere Garden,"$12,642",13,100.76
Century Link,"$14,147",13,101.08
Park Vista (Park Yoho),"$14,256",11,86.93
Golden Lion Garden,"$15,914",11,55.7
Tai Hing Gardens,"$12,526",10,44.93
Park Signature,"$12,977",10,62.85
Siu Hong Court,"$10,612",10,48.82
Villa Esplanada,"$16,881",10,98.25
Festival City,"$17,995",9,106
Tuen Mun Town Plaza,"$14,688",9,47.37
Coastal Skyline,"$15,137",9,107.85
Hongkong Garden,"$10,487",9,52.07
Kam Fung Court,"$10,273",9,51.1
Tung Chung Crescent,"$13,956",9,68.72
Mayfair Gardens,"$13,196",9,44.3
Allway Gardens,"$10,595",9,47.63
Caribbean Coast,"$12,226",8,60.31
Double Cove,"$18,793",8,86.41
Bellagio,"$14,429",8,74.54
The Palazzo,"$19,891",8,134.48
Century Gateway,"$18,036",7,67.94
Taikoo Shing,"$20,172",29,356.17
South Horizons,"$17,176",24,265.91
Kornhill,"$18,200",10,108.77
Heng Fa Chuen,"$15,935",9,76.84
Dynasty Court,"$48,216",9,825.3
Lei King Wan,"$17,041",6,62.1
Residence Bel-Air,Residence Bel,6,251.38
Nan Fung Sun Chuen,"$15,871",6,37.37
Grand Promenade,"$23,437",5,57.89
Chi Fu Fa Yuen,"$14,005",5,33.68
Aldrich Garden,"$11,150",5,27.51
Island Resort,"$18,706",4,46.65
Kornhill (Ho),"$16,054",4,29.38
Baguio Villa,"$21,132",4,91.18
Kwan Yick Building,"$15,099",4,22.8
Cathay Mansion,"$16,773",4,46.54
Aberdeen Centre,"$15,318",3,17.67
Harbour Heights,"$18,238",3,34.78
